Carlsbad Classic 2015;;;;;;
;;;;;;
Pořadí;Číslo;Jméno;Kategorie;Klub;Čas 2;Kolo
1.0;10.0;WILLITS PETER , Tichy Steven;not_def;;00:11,00;1.0
2.0;7.0;FIALA PETR , Fiala Tomáš;not_def;Classic Auto;00:11,02;1.0
3.0;25.0;ERDÉLYI ZOLTÁN , Erdélyi Csilla;not_def;;00:11,03;1.0
4.0;8.0;VURM VLADIMÍR ;not_def;V-Team;00:11,04;1.0
5.0;4.0;JANEČEK DANIEL , Janeček Jiří;not_def;Classic Auto;00:10,93;1.0
6.0;34.0;WAGNER STEFAN , Wagner Siegbert;not_def;Sachs-Franken-Classic;00:11,08;1.0
7.0;40.0;ERNEST PAVEL , Ernestová Miluše;not_def;AUTO-MOTO Dobrovice;00:11,09;1.0
8.0;50.0;SULMA ROBERT , Mojon Denis;not_def;BBI Classic;00:10,91;1.0
9.0;17.0;WEITHALER JOSEF , Klossová Michaela;not_def;;00:10,90;1.0
10.0;29.0;MÜLLER VLADIMÍR , Kešelj Alex;not_def;BBI Classic;00:11,12;1.0
11.0;28.0;FIALOVÁ DAGMAR , Fialová Lucie;not_def;Classic Auto;00:11,13;1.0
12.0;1.0;NIEWALD JAN , Niewaldová Hana;not_def;;00:10,87;1.0
13.0;12.0;KACEROVSKÝ PAVEL , Kacerovská Mikešová Marcela;not_def;ČK Motorsport;00:10,87;1.0
14.0;21.0;PANCE ŠTĚPÁN , Pance Albert;not_def;;00:10,86;1.0
15.0;2.0;BRZOŇ JAROSLAV , Ječná Eva;not_def;BBI Classic;00:10,85;1.0
16.0;9.0;VÍTEK JIŘÍ , Vítková Renata;not_def;JRV-Team;00:10,85;1.0
17.0;13.0;PANCE ALBERT , Ruthová Anna;not_def;;00:10,82;1.0
18.0;47.0;FOŠUM FRANTIŠEK ML. , Kubiš Ivan;not_def;VCC Radčice;00:11,18;1.0
19.0;46.0;MULAČ JAN , Mulačová Ivana;not_def;KHV-MB;00:11,19;1.0
20.0;48.0;SVOBODA LUKÁŠ , Rainerová Kateřina;not_def;Wild Ducks;00:11,23;1.0
21.0;111.0;PAVLÍČEK DANIEL , Pavlíčková Jana;not_def;;00:11,24;1.0
22.0;15.0;SKÁLA PATRIK , Skála Jan;not_def;;00:11,27;1.0
23.0;30.0;NOSZVAI ANDRÁS , Noszvai Anna;not_def;;00:10,72;1.0
24.0;3.0;PARMA PAVEL , Parmová Veronika;not_def;Classic Auto;00:11,31;1.0
25.0;14.0;PAVLÍČEK MICHAL , Pavlíček Matěj;not_def;;00:10,69;1.0
26.0;27.0;ŠIKAL ANTONÍN ;not_def;;00:11,34;1.0
27.0;33.0;LEXA ALEŠ , Kadlexová Šárka;not_def;Bob Sharp Datsun;00:10,64;1.0
28.0;41.0;ŠTAJF VOJTĚCH , Štajfová Milana;not_def;Subaru Česká republika;00:11,40;1.0
29.0;31.0;DUDA IGOR , Krejzlová Alice;not_def;Swisslife;00:11,51;1.0
30.0;6.0;KRAJNÍK JAROSLAV , Chaloupková Jana;not_def;;00:11,52;1.0
31.0;36.0;KAŠPAR MILOŠ , Janak Marie;not_def;INKOS Historic Team;00:11,56;1.0
32.0;53.0;LACIAK MARTIN ;not_def;Savoy Westend Hotel;00:11,59;1.0
33.0;24.0;GERGELY HORVATH , Karabelyos Peter;not_def;;00:11,62;1.0
34.0;38.0;PAŽOUT JAROMÍR ;not_def;Bookassist;00:11,63;1.0
35.0;20.0;VURM MIROSLAV , Šafář Jan;not_def;V-Team;00:11,66;1.0
36.0;39.0;BRZOŇ JAROSLAV ST. , Procházka Petr;not_def;BBI Classic;00:11,82;1.0
37.0;45.0;KOSNAR MICHAL , Kraus Petr;not_def;KV Classic Team;00:11,84;1.0
38.0;52.0;THORMÄHLEN NIELS , Schulfreund Markus;not_def;BBI Classic;00:11,89;1.0
39.0;19.0;MAUN MILOSLAV , Maunová Rosi;not_def;;00:11,93;1.0
40.0;22.0;MACH KAREL , Mach Karel ml.;not_def;ČK Motorsport;00:11,94;1.0
41.0;23.0;MOTLÍK JAN , Motlíková Jana;not_def;;00:12,01;1.0
42.0;51.0;BENEŠ JOSEF , Žáčková Jana;not_def;Maserati Club;00:12,29;1.0
43.0;26.0;ŠVIDRNOCH ROMAN , Švidrnochová Karolína;not_def;Opel CS;00:12,51;1.0
44.0;35.0;VÁVRA DANIEL , Endl Petr;not_def;Engine;00:12,84;1.0
45.0;37.0;ŠIKAL ANTONÍN ;not_def;;00:12,98;1.0
46.0;42.0;GONDA JOSEF , Gondová Marie;not_def;PEGAS;00:08,82;1.0
47.0;18.0;STEINBAUER ANTONÍN , Steinbauerová Hana;not_def;VCC Radčice;00:13,29;1.0
48.0;44.0;HUŇÁČEK PAVEL , Formánek Vojtěch;not_def;;00:13,36;1.0
49.0;11.0;HÁJEK ONDŘEJ , Hájek Oldřich;not_def;;00:13,73;1.0
50.0;5.0;BRATRŠOVSKÝ PAVEL , Bratršovská Marie;not_def;;00:14,17;1.0
51.0;43.0;FOŠUM FRANTIŠEK , Polánka Zdeněk;not_def;VCC Radčice;00:14,93;1.0
52.0;16.0;KLEPETKO PETR , Klepetková Magda;not_def;BBI Classic;00:16,33;1.0
53.0;49.0;HELCELET IVAN , Křepel Jan;not_def;;00:16,14;1.0
