Carlsbad Classic 2015;;;;;;;
Kategorie: TP1;;;;;;;Victorinox (80m/11sec, 70m/11sec)
Číslo;Jméno;Klub;Národnost;Automobil;RV;Čas 1;Kolo 11
1;NIEWALD JAN , Niewaldová Hana;;CZ/CZ;Tatra 87;1945;00:00:20,88;2
2;BRZOŇ JAROSLAV , Ječná Eva;BBI Classic;CZ/CZ;Porsche 356 Speedster;1955;00:00:22,39;2
3;PARMA PAVEL , Parmová Veronika;Classic Auto;CZ/CZ;Austin Healey 100/6;1956;00:00:21,84;2
4;JANEČEK DANIEL , Janeček Jiří;Classic Auto;CZ/CZ;Jaguar 140 DHC;1956;00:00:21,30;2
5;BRATRŠOVSKÝ PAVEL , Bratršovská Marie;;CZ/CZ;Jaguar XK 140 OTS;1956;00:00:23,56;2
6;KRAJNÍK JAROSLAV , Chaloupková Jana;;CZ/CZ;MG 1500 TF;1956;00:00:22,24;2
7;FIALA PETR , Fiala Tomáš;Classic Auto;CZ/CZ;Austin Healey 100/4;1956;00:00:21,92;2
8;VURM VLADIMÍR ;V-Team;CZ/CZ;MG A 1500 Roadster;1956;00:00:22,32;2
9;VÍTEK JIŘÍ , Vítková Renata;JRV-Team;CZ/CZ;MGA 1500 Roadster;1958;00:00:22,30;2
10;WILLITS PETER , Tichy Steven;;USA/USA;Cadillac Coupé DeVille;1958;00:00:17,90;2
11;HÁJEK ONDŘEJ , Hájek Oldřich;;CZ/CZ;Škoda Felicia;1960;00:00:27,14;2
12;KACEROVSKÝ PAVEL , Kacerovská Mikešová Marcela;ČK Motorsport;CZ/CZ;Škoda Felicia;1961;00:00:20,73;2
13;PANCE ALBERT , Ruthová Anna;;CZ/CZ;Jaguar E-Type Coupé;1962;00:00:21,98;2
14;PAVLÍČEK MICHAL , Pavlíček Matěj;;CZ/CZ;Jaguar E-Type OTS;1963;00:00:21,16;2
15;SKÁLA PATRIK , Skála Jan;;CZ/CZ;Austin Healey Mk III.;1964;00:00:22,33;2
16;KLEPETKO PETR , Klepetková Magda;BBI Classic;CZ/CZ;Morgan +4+;1964;00:00:23,19;2
17;WEITHALER JOSEF , Klossová Michaela;;A/CZ;Škoda 1000 MB Rallye;1964;00:00:21,87;2
18;STEINBAUER ANTONÍN , Steinbauerová Hana;VCC Radčice;CZ/CZ;Mercedes-Benz 250 SE cabriolet ;1966;00:00:21,49;2
19;MAUN MILOSLAV , Maunová Rosi;;CZ/CZ;Mercedes-Benz 230 SL;1966;00:00:22,06;2
20;VURM MIROSLAV , Šafář Jan;V-Team;CZ/CZ;MGB V8 Roadster;1967;00:00:22,24;2
21;PANCE ŠTĚPÁN , Pance Albert;;CZ/CZ;Alfa Romeo Giulia sprint GT Veloce;1967;00:00:21,84;2
22;MACH KAREL , Mach Karel ml.;ČK Motorsport;CZ/CZ;Maserati Ghibli;1967;00:00:22,06;2
23;MOTLÍK JAN , Motlíková Jana;;CZ/CZ;Triumph TR4A;1967;00:00:20,65;2
24;GERGELY HORVATH , Karabelyos Peter;;HU/HU;Chevrolet Chevelle Malibu Convertible SS;1968;00:00:22,25;2
25;ERDÉLYI ZOLTÁN , Erdélyi Csilla;;HU/HU;Jaguar 420;1968;00:00:22,12;2
26;ŠVIDRNOCH ROMAN , Švidrnochová Karolína;Opel CS;CZ/CZ;Opel GT;1969;00:00:20,95;2
27;ŠIKAL ANTONÍN ;;CZ;Ford Capri;1969;00:00:21,90;2
28;FIALOVÁ DAGMAR , Fialová Lucie;Classic Auto;CZ/CZ;;;00:00:22,38;2
29;MÜLLER VLADIMÍR , Kešelj Alex;BBI Classic;CZ/I;Porsche 911 Targa;1971;00:00:20,60;2
30;NOSZVAI ANDRÁS , Noszvai Anna;;HU/HU;NSU 1000 C;1971;00:00:21,42;2
33;LEXA ALEŠ , Kadlexová Šárka;Bob Sharp Datsun;CZ/CZ;Datsun 280ZX;1981;00:00:21,95;2
34;WAGNER STEFAN , Wagner Siegbert;Sachs-Franken-Classic;A/DE;BMW 2002 Baur Cabriolet;1972;00:00:20,95;2
