id;name;description;start_nr;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;
1;Kategorie A;80km, muži 15-39let (1998-1974);1;0;0;0;0;0;0;0;0;0;0;
2;Kategorie B;80km, muži 40-49let (1973-1964);1;0;0;0;0;0;0;0;0;0;0;
3;Kategorie C;80 km, muži 50let a více (1963 a méně);1;0;0;0;0;0;0;0;0;0;0;
4;Kategorie D;80km, ženy 15-39let (1998-1974);1;0;0;0;0;0;0;0;0;0;0;
5;Kategorie E;80km, ženy 40let a více (1973 a méně);1;0;0;0;0;0;0;0;0;0;0;
6;Kategorie F;40km, muži 19-39let (1994-1974);1;0;0;0;0;0;0;0;0;0;0;
7;Kategorie G;40km, muži 40-49let (1973-1964);1;0;0;0;0;0;0;0;0;0;0;
8;Kategorie H;40km, muži 50let a více (1963 a méně);1;0;0;0;0;0;0;0;0;0;0;
9;Kategorie I;40km, ženy 19-39let (1994-1974);1;0;0;0;0;0;0;0;0;0;0;
10;Kategorie J;40km, ženy 40let a více (1973 a méně);1;0;0;0;0;0;0;0;0;0;0;
11;Kategorie K;40km, junioři 15-18let (1998-1995);1;0;0;0;0;0;0;0;0;0;0;
12;Kategorie L;40km, juniorky 15-18let (1998-1995);1;0;0;0;0;0;0;0;0;0;0;
