id;nr;name;first_name;category;club;birthday;sex;email;symbol;paid;description;user field_1;user field_2;user field_3;user field_4
1;1;Tag 1;;26;;;;;;;;;;;
2;2;Tag 2;;26;;;;;;;;;;;
3;3;Tag 3;;26;;;;;;;;;;;
4;4;Tag 4;;26;;;;;;;;;;;
5;5;Tag 5;;26;;;;;;;;;;;
6;6;Tag 6;;26;;;;;;;;;;;
7;7;Tag 7;;26;;;;;;;;;;;
8;8;Tag 8;;26;;;;;;;;;;;
9;9;Tag 9;;26;;;;;;;;;;;
10;10;Tag 10;;26;;;;;;;;;;;
11;11;Tag 11;;26;;;;;;;;;;;
12;12;Tag 12;;26;;;;;;;;;;;
13;13;Tag 13;;26;;;;;;;;;;;
14;14;Tag 14;;26;;;;;;;;;;;
15;15;Tag 15;;26;;;;;;;;;;;
16;16;Tag 16;;26;;;;;;;;;;;
17;17;Tag 17;;26;;;;;;;;;;;
18;18;Tag 18;;26;;;;;;;;;;;
19;19;Tag 19;;26;;;;;;;;;;;
20;20;Tag 20;;26;;;;;;;;;;;
21;21;Tag 21;;26;;;;;;;;;;;
22;22;Tag 22;;26;;;;;;;;;;;
23;23;Tag 23;;26;;;;;;;;;;;
24;24;Tag 24;;26;;;;;;;;;;;
25;25;Tag 25;;26;;;;;;;;;;;
26;26;Tag 26;;26;;;;;;;;;;;
27;27;Tag 27;;26;;;;;;;;;;;
28;28;Tag 28;;26;;;;;;;;;;;
29;29;Tag 29;;26;;;;;;;;;;;
30;30;Tag 30;;26;;;;;;;;;;;
31;31;Tag 31;;26;;;;;;;;;;;
32;32;Tag 32;;26;;;;;;;;;;;
33;33;Tag 33;;26;;;;;;;;;;;
34;34;Tag 34;;26;;;;;;;;;;;
35;35;Tag 35;;26;;;;;;;;;;;
36;36;Tag 36;;26;;;;;;;;;;;
37;37;Tag 37;;26;;;;;;;;;;;
38;38;Tag 38;;26;;;;;;;;;;;
39;39;Tag 39;;26;;;;;;;;;;;
40;40;Tag 40;;26;;;;;;;;;;;
41;41;Tag 41;;26;;;;;;;;;;;
42;42;Tag 42;;26;;;;;;;;;;;
43;43;Tag 43;;26;;;;;;;;;;;
44;44;Tag 44;;26;;;;;;;;;;;
45;45;Tag 45;;26;;;;;;;;;;;
46;46;Tag 46;;26;;;;;;;;;;;
47;47;Tag 47;;26;;;;;;;;;;;
48;48;Tag 48;;26;;;;;;;;;;;
49;49;Tag 49;;26;;;;;;;;;;;
50;50;Tag 50;;26;;;;;;;;;;;
51;51;Tag 51;;26;;;;;;;;;;;
52;52;Tag 52;;26;;;;;;;;;;;
53;53;Tag 53;;26;;;;;;;;;;;
54;54;Tag 54;;26;;;;;;;;;;;
55;55;Tag 55;;26;;;;;;;;;;;
56;56;Tag 56;;26;;;;;;;;;;;
57;57;Tag 57;;26;;;;;;;;;;;
58;58;Tag 58;;26;;;;;;;;;;;
59;59;Tag 59;;26;;;;;;;;;;;
60;60;Tag 60;;26;;;;;;;;;;;
61;61;Tag 61;;26;;;;;;;;;;;
62;62;Tag 62;;26;;;;;;;;;;;
63;63;Tag 63;;26;;;;;;;;;;;
64;64;Tag 64;;26;;;;;;;;;;;
65;65;Tag 65;;26;;;;;;;;;;;
66;66;Tag 66;;26;;;;;;;;;;;
67;67;Tag 67;;26;;;;;;;;;;;
68;68;Tag 68;;26;;;;;;;;;;;
69;69;Tag 69;;26;;;;;;;;;;;
70;70;Tag 70;;26;;;;;;;;;;;
71;71;Tag 71;;26;;;;;;;;;;;
72;72;Tag 72;;26;;;;;;;;;;;
73;73;Tag 73;;26;;;;;;;;;;;
74;74;Tag 74;;26;;;;;;;;;;;
75;75;Tag 75;;26;;;;;;;;;;;
76;76;Tag 76;;26;;;;;;;;;;;
77;77;Tag 77;;26;;;;;;;;;;;
78;78;Tag 78;;26;;;;;;;;;;;
79;79;Tag 79;;26;;;;;;;;;;;
80;80;Tag 80;;26;;;;;;;;;;;
81;81;Tag 81;;26;;;;;;;;;;;
82;82;Tag 82;;26;;;;;;;;;;;
83;83;Tag 83;;26;;;;;;;;;;;
84;84;Tag 84;;26;;;;;;;;;;;
85;85;Tag 85;;26;;;;;;;;;;;
86;86;Tag 86;;26;;;;;;;;;;;
87;87;Tag 87;;26;;;;;;;;;;;
88;88;Tag 88;;26;;;;;;;;;;;
89;89;Tag 89;;26;;;;;;;;;;;
90;90;Tag 90;;26;;;;;;;;;;;
91;91;Tag 91;;26;;;;;;;;;;;
92;92;Tag 92;;26;;;;;;;;;;;
93;93;Tag 93;;26;;;;;;;;;;;
94;94;Tag 94;;26;;;;;;;;;;;
95;95;Tag 95;;26;;;;;;;;;;;
96;96;Tag 96;;26;;;;;;;;;;;
97;97;Tag 97;;26;;;;;;;;;;;
98;98;Tag 98;;26;;;;;;;;;;;
99;99;Tag 99;;26;;;;;;;;;;;
100;100;Tag 100;;26;;;;;;;;;;;
