id;nr;name;first_name;category;club;birthday;sex;email;symbol;paid;description;user field_1;user field_2;user field_3;user field_4
1;1;Tag 1;;26;;;;;;;;;;;
2;2;Tag 2;;26;;;;;;;;;;;
3;3;Tag 3;;26;;;;;;;;;;;
4;4;Tag 4;;26;;;;;;;;;;;
5;5;Tag 5;;26;;;;;;;;;;;
6;6;Tag 6;;26;;;;;;;;;;;
7;7;Tag 7;;26;;;;;;;;;;;
8;8;Tag 8;;26;;;;;;;;;;;
9;9;Tag 9;;26;;;;;;;;;;;
10;10;Tag 10;;26;;;;;;;;;;;
11;11;Tag 11;;26;;;;;;;;;;;
12;12;Tag 12;;26;;;;;;;;;;;
13;13;Tag 13;;26;;;;;;;;;;;
14;14;Tag 14;;26;;;;;;;;;;;
15;15;Tag 15;;26;;;;;;;;;;;
16;16;Tag 16;;26;;;;;;;;;;;
17;17;Tag 17;;26;;;;;;;;;;;
18;18;Tag 18;;26;;;;;;;;;;;
19;19;Tag 19;;26;;;;;;;;;;;
20;20;Tag 20;;26;;;;;;;;;;;
21;21;Tag 21;;26;;;;;;;;;;;
22;22;Tag 22;;26;;;;;;;;;;;
23;23;Tag 23;;26;;;;;;;;;;;
24;24;Tag 24;;26;;;;;;;;;;;
25;25;Tag 25;;26;;;;;;;;;;;
26;26;Tag 26;;26;;;;;;;;;;;
27;27;Tag 27;;26;;;;;;;;;;;
28;28;Tag 28;;26;;;;;;;;;;;
29;29;Tag 29;;26;;;;;;;;;;;
30;30;Tag 30;;26;;;;;;;;;;;
31;31;Tag 31;;26;;;;;;;;;;;
32;32;Tag 32;;26;;;;;;;;;;;
33;33;Tag 33;;26;;;;;;;;;;;
34;34;Tag 34;;26;;;;;;;;;;;
35;35;Tag 35;;26;;;;;;;;;;;
36;36;Tag 36;;26;;;;;;;;;;;
37;37;Tag 37;;26;;;;;;;;;;;
38;38;Tag 38;;26;;;;;;;;;;;
39;39;Tag 39;;26;;;;;;;;;;;
40;40;Tag 40;;26;;;;;;;;;;;
41;41;Tag 41;;26;;;;;;;;;;;
42;42;Tag 42;;26;;;;;;;;;;;
43;43;Tag 43;;26;;;;;;;;;;;
44;44;Tag 44;;26;;;;;;;;;;;
45;45;Tag 45;;26;;;;;;;;;;;
46;46;Tag 46;;26;;;;;;;;;;;
47;47;Tag 47;;26;;;;;;;;;;;
48;48;Tag 48;;26;;;;;;;;;;;
49;49;Tag 49;;26;;;;;;;;;;;
50;50;Tag 50;;26;;;;;;;;;;;
51;51;Tag 51;;26;;;;;;;;;;;
52;52;Tag 52;;26;;;;;;;;;;;
53;53;Tag 53;;26;;;;;;;;;;;
54;54;Tag 54;;26;;;;;;;;;;;
55;55;Tag 55;;26;;;;;;;;;;;
56;56;Tag 56;;26;;;;;;;;;;;
57;57;Tag 57;;26;;;;;;;;;;;
58;58;Tag 58;;26;;;;;;;;;;;
59;59;Tag 59;;26;;;;;;;;;;;
60;60;Tag 60;;26;;;;;;;;;;;
61;61;Tag 61;;26;;;;;;;;;;;
62;62;Tag 62;;26;;;;;;;;;;;
63;63;Tag 63;;26;;;;;;;;;;;
64;64;Tag 64;;26;;;;;;;;;;;
65;65;Tag 65;;26;;;;;;;;;;;
66;66;Tag 66;;26;;;;;;;;;;;
67;67;Tag 67;;26;;;;;;;;;;;
68;68;Tag 68;;26;;;;;;;;;;;
69;69;Tag 69;;26;;;;;;;;;;;
70;70;Tag 70;;26;;;;;;;;;;;
71;71;Tag 71;;26;;;;;;;;;;;
72;72;Tag 72;;26;;;;;;;;;;;
73;73;Tag 73;;26;;;;;;;;;;;
74;74;Tag 74;;26;;;;;;;;;;;
75;75;Tag 75;;26;;;;;;;;;;;
76;76;Tag 76;;26;;;;;;;;;;;
77;77;Tag 77;;26;;;;;;;;;;;
78;78;Tag 78;;26;;;;;;;;;;;
79;79;Tag 79;;26;;;;;;;;;;;
80;80;Tag 80;;26;;;;;;;;;;;
81;81;Tag 81;;26;;;;;;;;;;;
82;82;Tag 82;;26;;;;;;;;;;;
83;83;Tag 83;;26;;;;;;;;;;;
84;84;Tag 84;;26;;;;;;;;;;;
85;85;Tag 85;;26;;;;;;;;;;;
86;86;Tag 86;;26;;;;;;;;;;;
87;87;Tag 87;;26;;;;;;;;;;;
88;88;Tag 88;;26;;;;;;;;;;;
89;89;Tag 89;;26;;;;;;;;;;;
90;90;Tag 90;;26;;;;;;;;;;;
91;91;Tag 91;;26;;;;;;;;;;;
92;92;Tag 92;;26;;;;;;;;;;;
93;93;Tag 93;;26;;;;;;;;;;;
94;94;Tag 94;;26;;;;;;;;;;;
95;95;Tag 95;;26;;;;;;;;;;;
96;96;Tag 96;;26;;;;;;;;;;;
97;97;Tag 97;;26;;;;;;;;;;;
98;98;Tag 98;;26;;;;;;;;;;;
99;99;Tag 99;;26;;;;;;;;;;;
100;100;Tag 100;;26;;;;;;;;;;;
101;101;Tag 101;;26;;;;;;;;;;;
102;102;Tag 102;;26;;;;;;;;;;;
103;103;Tag 103;;26;;;;;;;;;;;
104;104;Tag 104;;26;;;;;;;;;;;
105;105;Tag 105;;26;;;;;;;;;;;
106;106;Tag 106;;26;;;;;;;;;;;
107;107;Tag 107;;26;;;;;;;;;;;
108;108;Tag 108;;26;;;;;;;;;;;
109;109;Tag 109;;26;;;;;;;;;;;
110;110;Tag 110;;26;;;;;;;;;;;
111;111;Tag 111;;26;;;;;;;;;;;
112;112;Tag 112;;26;;;;;;;;;;;
113;113;Tag 113;;26;;;;;;;;;;;
114;114;Tag 114;;26;;;;;;;;;;;
115;115;Tag 115;;26;;;;;;;;;;;
116;116;Tag 116;;26;;;;;;;;;;;
117;117;Tag 117;;26;;;;;;;;;;;
118;118;Tag 118;;26;;;;;;;;;;;
119;119;Tag 119;;26;;;;;;;;;;;
120;120;Tag 120;;26;;;;;;;;;;;
121;121;Tag 121;;26;;;;;;;;;;;
122;122;Tag 122;;26;;;;;;;;;;;
123;123;Tag 123;;26;;;;;;;;;;;
124;124;Tag 124;;26;;;;;;;;;;;
125;125;Tag 125;;26;;;;;;;;;;;
126;126;Tag 126;;26;;;;;;;;;;;
127;127;Tag 127;;26;;;;;;;;;;;
128;128;Tag 128;;26;;;;;;;;;;;
129;129;Tag 129;;26;;;;;;;;;;;
130;130;Tag 130;;26;;;;;;;;;;;
131;131;Tag 131;;26;;;;;;;;;;;
132;132;Tag 132;;26;;;;;;;;;;;
133;133;Tag 133;;26;;;;;;;;;;;
134;134;Tag 134;;26;;;;;;;;;;;
135;135;Tag 135;;26;;;;;;;;;;;
136;136;Tag 136;;26;;;;;;;;;;;
137;137;Tag 137;;26;;;;;;;;;;;
138;138;Tag 138;;26;;;;;;;;;;;
139;139;Tag 139;;26;;;;;;;;;;;
140;140;Tag 140;;26;;;;;;;;;;;
141;141;Tag 141;;26;;;;;;;;;;;
142;142;Tag 142;;26;;;;;;;;;;;
143;143;Tag 143;;26;;;;;;;;;;;
144;144;Tag 144;;26;;;;;;;;;;;
145;145;Tag 145;;26;;;;;;;;;;;
146;146;Tag 146;;26;;;;;;;;;;;
147;147;Tag 147;;26;;;;;;;;;;;
148;148;Tag 148;;26;;;;;;;;;;;
149;149;Tag 149;;26;;;;;;;;;;;
150;150;Tag 150;;26;;;;;;;;;;;
151;151;Tag 151;;26;;;;;;;;;;;
152;152;Tag 152;;26;;;;;;;;;;;
153;153;Tag 153;;26;;;;;;;;;;;
154;154;Tag 154;;26;;;;;;;;;;;
155;155;Tag 155;;26;;;;;;;;;;;
156;156;Tag 156;;26;;;;;;;;;;;
157;157;Tag 157;;26;;;;;;;;;;;
158;158;Tag 158;;26;;;;;;;;;;;
159;159;Tag 159;;26;;;;;;;;;;;
160;160;Tag 160;;26;;;;;;;;;;;
161;161;Tag 161;;26;;;;;;;;;;;
162;162;Tag 162;;26;;;;;;;;;;;
163;163;Tag 163;;26;;;;;;;;;;;
164;164;Tag 164;;26;;;;;;;;;;;
165;165;Tag 165;;26;;;;;;;;;;;
166;166;Tag 166;;26;;;;;;;;;;;
167;167;Tag 167;;26;;;;;;;;;;;
168;168;Tag 168;;26;;;;;;;;;;;
169;169;Tag 169;;26;;;;;;;;;;;
170;170;Tag 170;;26;;;;;;;;;;;
171;171;Tag 171;;26;;;;;;;;;;;
172;172;Tag 172;;26;;;;;;;;;;;
173;173;Tag 173;;26;;;;;;;;;;;
174;174;Tag 174;;26;;;;;;;;;;;
175;175;Tag 175;;26;;;;;;;;;;;
176;176;Tag 176;;26;;;;;;;;;;;
177;177;Tag 177;;26;;;;;;;;;;;
178;178;Tag 178;;26;;;;;;;;;;;
179;179;Tag 179;;26;;;;;;;;;;;
180;180;Tag 180;;26;;;;;;;;;;;
181;181;Tag 181;;26;;;;;;;;;;;
182;182;Tag 182;;26;;;;;;;;;;;
183;183;Tag 183;;26;;;;;;;;;;;
184;184;Tag 184;;26;;;;;;;;;;;
185;185;Tag 185;;26;;;;;;;;;;;
186;186;Tag 186;;26;;;;;;;;;;;
187;187;Tag 187;;26;;;;;;;;;;;
188;188;Tag 188;;26;;;;;;;;;;;
189;189;Tag 189;;26;;;;;;;;;;;
190;190;Tag 190;;26;;;;;;;;;;;
191;191;Tag 191;;26;;;;;;;;;;;
192;192;Tag 192;;26;;;;;;;;;;;
193;193;Tag 193;;26;;;;;;;;;;;
194;194;Tag 194;;26;;;;;;;;;;;
195;195;Tag 195;;26;;;;;;;;;;;
196;196;Tag 196;;26;;;;;;;;;;;
197;197;Tag 197;;26;;;;;;;;;;;
198;198;Tag 198;;26;;;;;;;;;;;
199;199;Tag 199;;26;;;;;;;;;;;
200;200;Tag 200;;26;;;;;;;;;;;
201;201;Tag 201;;26;;;;;;;;;;;
202;202;Tag 202;;26;;;;;;;;;;;
203;203;Tag 203;;26;;;;;;;;;;;
204;204;Tag 204;;26;;;;;;;;;;;
205;205;Tag 205;;26;;;;;;;;;;;
206;206;Tag 206;;26;;;;;;;;;;;
207;207;Tag 207;;26;;;;;;;;;;;
208;208;Tag 208;;26;;;;;;;;;;;
209;209;Tag 209;;26;;;;;;;;;;;
210;210;Tag 210;;26;;;;;;;;;;;
211;211;Tag 211;;26;;;;;;;;;;;
212;212;Tag 212;;26;;;;;;;;;;;
213;213;Tag 213;;26;;;;;;;;;;;
214;214;Tag 214;;26;;;;;;;;;;;
215;215;Tag 215;;26;;;;;;;;;;;
216;216;Tag 216;;26;;;;;;;;;;;
217;217;Tag 217;;26;;;;;;;;;;;
218;218;Tag 218;;26;;;;;;;;;;;
219;219;Tag 219;;26;;;;;;;;;;;
220;220;Tag 220;;26;;;;;;;;;;;
221;221;Tag 221;;26;;;;;;;;;;;
222;222;Tag 222;;26;;;;;;;;;;;
223;223;Tag 223;;26;;;;;;;;;;;
224;224;Tag 224;;26;;;;;;;;;;;
225;225;Tag 225;;26;;;;;;;;;;;
226;226;Tag 226;;26;;;;;;;;;;;
227;227;Tag 227;;26;;;;;;;;;;;
228;228;Tag 228;;26;;;;;;;;;;;
229;229;Tag 229;;26;;;;;;;;;;;
230;230;Tag 230;;26;;;;;;;;;;;
231;231;Tag 231;;26;;;;;;;;;;;
232;232;Tag 232;;26;;;;;;;;;;;
233;233;Tag 233;;26;;;;;;;;;;;
234;234;Tag 234;;26;;;;;;;;;;;
235;235;Tag 235;;26;;;;;;;;;;;
236;236;Tag 236;;26;;;;;;;;;;;
237;237;Tag 237;;26;;;;;;;;;;;
238;238;Tag 238;;26;;;;;;;;;;;
239;239;Tag 239;;26;;;;;;;;;;;
240;240;Tag 240;;26;;;;;;;;;;;
241;241;Tag 241;;26;;;;;;;;;;;
242;242;Tag 242;;26;;;;;;;;;;;
243;243;Tag 243;;26;;;;;;;;;;;
244;244;Tag 244;;26;;;;;;;;;;;
245;245;Tag 245;;26;;;;;;;;;;;
246;246;Tag 246;;26;;;;;;;;;;;
247;247;Tag 247;;26;;;;;;;;;;;
248;248;Tag 248;;26;;;;;;;;;;;
249;249;Tag 249;;26;;;;;;;;;;;
250;250;Tag 250;;26;;;;;;;;;;;
251;251;Tag 251;;26;;;;;;;;;;;
252;252;Tag 252;;26;;;;;;;;;;;
253;253;Tag 253;;26;;;;;;;;;;;
254;254;Tag 254;;26;;;;;;;;;;;
255;255;Tag 255;;26;;;;;;;;;;;
256;256;Tag 256;;26;;;;;;;;;;;
257;257;Tag 257;;26;;;;;;;;;;;
258;258;Tag 258;;26;;;;;;;;;;;
259;259;Tag 259;;26;;;;;;;;;;;
260;260;Tag 260;;26;;;;;;;;;;;
261;261;Tag 261;;26;;;;;;;;;;;
262;262;Tag 262;;26;;;;;;;;;;;
263;263;Tag 263;;26;;;;;;;;;;;
264;264;Tag 264;;26;;;;;;;;;;;
265;265;Tag 265;;26;;;;;;;;;;;
266;266;Tag 266;;26;;;;;;;;;;;
267;267;Tag 267;;26;;;;;;;;;;;
268;268;Tag 268;;26;;;;;;;;;;;
269;269;Tag 269;;26;;;;;;;;;;;
270;270;Tag 270;;26;;;;;;;;;;;
271;271;Tag 271;;26;;;;;;;;;;;
272;272;Tag 272;;26;;;;;;;;;;;
273;273;Tag 273;;26;;;;;;;;;;;
274;274;Tag 274;;26;;;;;;;;;;;
275;275;Tag 275;;26;;;;;;;;;;;
276;276;Tag 276;;26;;;;;;;;;;;
277;277;Tag 277;;26;;;;;;;;;;;
278;278;Tag 278;;26;;;;;;;;;;;
279;279;Tag 279;;26;;;;;;;;;;;
280;280;Tag 280;;26;;;;;;;;;;;
281;281;Tag 281;;26;;;;;;;;;;;
282;282;Tag 282;;26;;;;;;;;;;;
283;283;Tag 283;;26;;;;;;;;;;;
284;284;Tag 284;;26;;;;;;;;;;;
285;285;Tag 285;;26;;;;;;;;;;;
286;286;Tag 286;;26;;;;;;;;;;;
287;287;Tag 287;;26;;;;;;;;;;;
288;288;Tag 288;;26;;;;;;;;;;;
289;289;Tag 289;;26;;;;;;;;;;;
290;290;Tag 290;;26;;;;;;;;;;;
291;291;Tag 291;;26;;;;;;;;;;;
292;292;Tag 292;;26;;;;;;;;;;;
293;293;Tag 293;;26;;;;;;;;;;;
294;294;Tag 294;;26;;;;;;;;;;;
295;295;Tag 295;;26;;;;;;;;;;;
296;296;Tag 296;;26;;;;;;;;;;;
297;297;Tag 297;;26;;;;;;;;;;;
298;298;Tag 298;;26;;;;;;;;;;;
299;299;Tag 299;;26;;;;;;;;;;;
300;300;Tag 300;;26;;;;;;;;;;;
301;301;Tag 301;;26;;;;;;;;;;;
302;302;Tag 302;;26;;;;;;;;;;;
303;303;Tag 303;;26;;;;;;;;;;;
304;304;Tag 304;;26;;;;;;;;;;;
305;305;Tag 305;;26;;;;;;;;;;;
306;306;Tag 306;;26;;;;;;;;;;;
307;307;Tag 307;;26;;;;;;;;;;;
308;308;Tag 308;;26;;;;;;;;;;;
309;309;Tag 309;;26;;;;;;;;;;;
310;310;Tag 310;;26;;;;;;;;;;;
311;311;Tag 311;;26;;;;;;;;;;;
312;312;Tag 312;;26;;;;;;;;;;;
313;313;Tag 313;;26;;;;;;;;;;;
314;314;Tag 314;;26;;;;;;;;;;;
315;315;Tag 315;;26;;;;;;;;;;;
316;316;Tag 316;;26;;;;;;;;;;;
317;317;Tag 317;;26;;;;;;;;;;;
318;318;Tag 318;;26;;;;;;;;;;;
319;319;Tag 319;;26;;;;;;;;;;;
320;320;Tag 320;;26;;;;;;;;;;;
321;321;Tag 321;;26;;;;;;;;;;;
322;322;Tag 322;;26;;;;;;;;;;;
323;323;Tag 323;;26;;;;;;;;;;;
324;324;Tag 324;;26;;;;;;;;;;;
325;325;Tag 325;;26;;;;;;;;;;;
326;326;Tag 326;;26;;;;;;;;;;;
327;327;Tag 327;;26;;;;;;;;;;;
328;328;Tag 328;;26;;;;;;;;;;;
329;329;Tag 329;;26;;;;;;;;;;;
330;330;Tag 330;;26;;;;;;;;;;;
