id;nr;cell;time;name;category;order;order in cat.;start_nr
64;0;1;00:00:00,00;;;;;1
65;0;250;00:00:14,41;unknown ;;001;001;
66;0;1;00:00:00,00;;;;;1
67;0;250;00:00:23,69;unknown ;;001;001;
68;0;1;00:00:00,00;;;;;1
69;0;250;00:00:06,59;unknown ;;001;001;
70;0;1;00:00:00,00;;;;;1
71;0;250;00:00:05,77;unknown ;;001;001;
72;0;1;00:00:00,00;;;;;1
73;0;250;00:00:04,93;unknown ;;001;001;
74;0;1;00:00:00,00;;;;;1
76;0;250;00:01:22,02;unknown ;;001;001;
77;0;250;00:01:44,10;unknown ;;002;001;
78;0;250;00:02:08,34;unknown ;;003;001;
79;0;250;00:02:30,06;unknown ;;004;001;
80;0;250;00:02:32,47;unknown ;;005;001;
81;0;250;00:02:33,82;unknown ;;006;001;
82;0;250;00:03:11,26;unknown ;;007;001;
83;0;250;00:03:13,84;unknown ;;008;001;
84;0;250;00:03:14,60;unknown ;;009;001;
85;0;250;00:03:15,22;unknown ;;010;001;
86;1;250;00:03:16,70;lol ;;011;001;1
87;0;250;00:03:17,16;unknown ;;012;002;
88;0;250;00:03:17,62;unknown ;;013;002;
89;0;250;00:03:18,58;unknown ;;014;002;
90;0;250;00:03:36,65;unknown ;;015;002;
91;0;250;00:03:36,78;unknown ;;016;002;
92;0;250;00:03:37,37;unknown ;;017;002;
93;0;250;00:04:16,07;unknown ;;018;002;
94;0;250;00:04:28,81;unknown ;;019;002;
95;0;250;00:04:29,32;unknown ;;020;002;
96;0;250;00:04:29,84;unknown ;;021;002;
97;0;250;00:04:30,41;unknown ;;022;002;
98;0;250;00:04:30,93;unknown ;;023;002;
99;0;250;00:04:31,48;unknown ;;024;002;
100;0;250;00:04:32,03;unknown ;;025;002;
101;0;250;00:04:32,54;unknown ;;026;002;
102;0;250;00:09:12,79;unknown ;;027;002;
103;0;250;01:05:48,47;unknown ;;028;002;
104;0;250;01:05:49,03;unknown ;;029;002;
105;0;250;01:05:49,47;unknown ;;030;002;
106;0;250;01:05:49,88;unknown ;;031;002;
107;0;250;01:05:50,25;unknown ;;032;002;
108;0;250;01:06:55,29;unknown ;;033;002;
109;0;250;01:06:55,66;unknown ;;034;002;
110;0;250;01:06:56,06;unknown ;;035;002;
111;0;250;01:06:56,45;unknown ;;036;002;
112;0;250;01:06:56,82;unknown ;;037;002;
113;0;250;01:06:57,17;unknown ;;038;002;
114;0;250;01:06:57,54;unknown ;;039;002;
115;0;0;00:00:00,00;unknown ;;;;
116;0;0;00:00:00,00;unknown ;;;;
